Rank,State,Index,Grocery,Housing,Utilities,Transportation,Health,Misc.
1,West Virginia,84.1,99.0,59.9,96.6,93.1,97.7,90.2
2,Oklahoma,85.7,95.4,68.6,95.4,90.7,96.6,90.4
3,Kansas,87.0,94.8,72.4,98.7,90.1,94.5,90.8
4,Mississippi,87.9,96.3,73.9,88.9,89.8,99.3,93.3
5,Alabama,88.0,97.2,69.5,100.0,90.8,87.0,95.6
6,Arkansas,88.7,95.2,74.8,90.7,90.0,85.7,96.7
6,Missouri,88.7,96.0,77.8,98.8,87.2,91.8,91.9
8,Iowa,89.7,96.6,74.8,92.9,97.6,95.8,95.4
9,Michigan,90.4,98.2,73.7,98.0,99.6,89.3,96.5
10,Tennessee,90.5,97.1,83.2,87.2,89.1,88.6,94.9
11,Indiana,90.5,97.3,77.1,90.5,98.7,97.3,95.4
12,Georgia,91.3,97.3,79.2,97.4,96.0,100.4,94.6
13,North Dakota,91.9,95.0,80.1,81.0,99.8,108.2,98.8
14,South Dakota,92.2,97.5,88.1,83.5,98.3,101.0,92.4
14,Louisiana,92.2,96.1,83.8,78.5,95.4,96.6,99.4
16,Texas,92.7,96.1,82.0,105.3,92.8,94.5,96.6
17,Kentucky,93.0,99.8,78.7,83.9,96.8,106.6,101.2
18,Nebraska,93.1,99.2,80.0,88.4,96.7,100.0,100.6
19,New Mexico,93.3,96.4,86.9,84.3,90.1,102.7,99.0
20,Ohio,94.2,98.9,85.7,99.3,95.9,94.5,97.2
21,Illinois,94.4,98.1,83.3,99.5,103.4,99.1,97.7
22,Montana,94.9,101.3,86.5,83.3,109.7,106.3,96.6
23,Minnesota,95.1,102.1,80.9,97.4,95.1,105.0,101.7
24,Pennsylvania,95.1,99.2,84.3,106.0,104.3,90.6,97.9
25,Wyoming,95.5,100.3,88.6,89.1,92.4,104.3,100.2
26,South Carolina,95.9,99.3,86.7,102.3,94.7,93.0,101.1
27,Wisconsin,97.0,98.0,91.6,92.6,98.3,106.4,100.3
28,North Carolina,97.8,98.4,93.3,97.1,93.6,104.7,101.6
29,Virginia,100.7,99.6,104.5,99.8,94.9,105.0,99.3
30,Delaware,100.8,102.5,97.4,98.2,102.2,102.4,102.9
31,Nevada,101.3,103.2,107.7,103.9,119.0,87.1,92.0
32,Idaho,102.0,103.6,100.9,77.9,109.6,98.5,106.7
32,Puerto Rico,102.0,110.0,101.3,158.0,91.5,70.1,92.3
32,Colorado,102.0,100.7,107.7,89.3,94.8,104.3,102.6
35,Florida,102.8,105.2,108.1,101.9,98.8,99.0,99.0
36,Utah,104.9,97.7,116.8,96.2,108.1,88.4,101.8
37,Arizona,111.5,101.1,131.9,105.3,104.4,92.7,105.2
38,Oregon,112.0,106.2,133.3,89.7,118.6,109.7,101.1
39,Maine,112.1,101.5,128.7,111.0,107.5,113.7,104.5
40,Rhode Island,112.2,101.9,113.4,140.0,96.3,104.6,114.2
41,Connecticut,112.3,102.6,117.2,135.9,104.8,109.9,109.0
42,New Hampshire,112.6,99.9,117.5,112.4,105.6,104.1,117.1
43,Washington,114.2,105.6,126.9,92.6,123.7,118.1,109.9
44,Vermont,114.4,106.2,129.7,112.6,95.8,111.4,111.1
45,New Jersey,114.6,104.2,136.9,100.6,105.6,107.5,107.5
46,Maryland,115.3,107.1,135.8,110.3,101.7,100.9,108.9
47,New York,123.3,103.9,168.0,99.7,106.8,108.9,106.9
48,Alaska,123.8,127.1,118.0,152.8,114.3,150.0,118.9
49,District of Columbia,141.9,105.8,222.4,102.6,107.7,117.4,113.3
50,California,144.8,111.7,208.7,139.8,136.7,107.7,115.3
51,Massachusetts,145.9,104.4,218.8,150.0,109.5,125.7,115.3
52,Hawaii,186.9,130.4,310.0,198.0,133.3,121.1,130.5
,U.S.,100.0,100.0,100.0,100.0,100.0,100.0,100.0
